,Title,Authors,Description,Category
702,liberation management,thomas j. peters,"in the new economy, hierarchical business structures are being consigned to the shredder and replaced with flexible, fast-responding, ad hoc groups of brainworkers. tom peters, author of the bestselling in search of excellence is once again ahead of the curve, and now demonstrates that the key to success in business future is total engagement, dynamism, speed, and independence. ""rewarding. provides a wealth of thought-provoking information and incisive insights.""philadelphia inquirer""a gold mine of information.""usa today","business and economics , general"
703,a peacock in the land of penguins: a tale of diversity and discovery,"warren h. schmidt, b. j. gallagher hateley, sam , weiss, kenneth h. blanchard","this brand new edition of a classic, international bestseller continues to bring keen insight to an important topic—workforce diversity. written in a charming, engaging style, it is a contemporary corporate fable—a tale for our times. this special 20th anniversary edition includes many new tips, tools, and strategies for peacocks and penguins alike—as well as an entirely new bonus parable. through the story of perry the peacock and his fine feathered friends, authors gallagher and schmidt bring to life the challenges of birds of different feathers who struggle to be successful in the conformity-minded land of penguins. their travails illuminate the challenges of creating a pluralistic corporate culture in which the talent, energy, and commitment of all employees are fully engaged.  people who have new ideas that differ from business as usual are often ignored or criticized for the very thing that makes them valuable: their originality and creativity. this unique book helps organizations break out of ""penguin thinking” in order to tap into and leverage the creativity of diversity. learn how to cultivate an organizational culture in which new ideas can flourish and innovation can take flight.","business and economics , management"
704,the customer comes second,"hal f. rosenbluth, diane mcferrin peters","the secret of hal rosenbluth's success, and his company's, is actually very simple. he concentrates on his employees first and his customers second. the formular works. rosenbluth travel was named one of the top ten in the 100 best companies to work for in america, and happy customers have quickly transformed a small family business into a global industry leader, grossing over 1.5 billion annually.in the customer comes second, rosenbluth travel's ceo and entrepreneurial genius, hal rosenbluth, reveals new ideas for hiring, performance reviews, technology innovation, and creative compensation. he shows how to build highly effective teams, inspire loyalty, and turn your workplace into a hotbed of creativity where people produce truly incredible results.find out why this book is causing such a stir; how it can transform you and your company. by the way, your customers will love it.","business and economics , general"
705,flight of the buffalo,"james a. belasco, ralph c. stayer","offers a detailed new leadership model for companies in the 1990s, one in which the employees, not the ceo, assume the responsibilities of leadership. by the author of teaching the elephant to dance.","business and economics , general"
706,how would you move mount fuji? microsoft's cult of the puzzle - how the world's smartest company selects the most creative thinkers,william poundstone,"for the first time, william poundstone reveals the toughest questions used at microsoft and other fortune 500 companies - and supplies the answers. he traces the rise and controversial fall of employer-mandated iq tests, the peculiar obsessions of bill gates (who plays jigsaw puzzles as a competitive sport), the sadistic mind games of wall street (which reportedly led one job seeker to smash a forty-third-story window), and the bizarre excesses of today's hiring managers (who may start off an interview with a box of legos or a game of virtual russian roulette).","business and economics , careers , general"
707,is your ``net'' working?: a complete guide to building contacts and career visibility,"bettie b. youngs, anne boe","is your ""net"" working? a complete guide to building contacts and career visibility ""this book is a masterpiece on networking. if you plan to stay in business, you can't afford to be without this wonderful information."" --cavett robert, cpae, chairman emeritus, national speakers association, and president of think people ""the purpose of business is building profitable relationships. this book gives the specific steps necessary to build a powerful network of contacts and business friends. it is a must for any success-oriented person."" --jim cathcart, cpae, author of relationship selling ""a must for anyone wanting to build their personal effectiveness and career options."" --wendy rue, founder and past president, national association of female executives ""a practical, realistic look at the value of networking and how it can tremendously help a person's career."" --dave nightingale, vice president of product development, nightingale/conant corporation ""anne boe is a first lady of networking. this book shows you how to make networking easy, profitable, and fun."" --mark victor hansen, chairman of look who's talking","business and economics , careers , general"
708,get a raise in 7 days: 10 salary savvy steps to success,"ronald l. krannich, caryl rae krannich","a step-by-step guide shows readers what to say and do to get a raise or promotion, using a ten-step plan for salary enhancement, a sample pitch for a raise, strategies for documenting their performance, and more. original. tour. ip.","business and economics , careers , general"
709,beyond the lemonade stand,"bill rancic, karen soenen","offers ideas for twenty kids' businesses, pros and cons of each, and tips on business plans and getting started.","juvenile nonfiction , business and economics"
710,beat the odds,martin john yate,"your parents claimed if you knew your job, did it well, and played by the rules you had it made. not in today's job market. employee loyalty is no longer rewarded, and careers become obsolete with a roll of the dice. the corporate ladder is a relic of the past. company structures are undergoing a dramatic shift in the ways they hire, fire, and manage their employees - and those who intend to advance professionally in the next decade will need to reinvent themselves in much the same way. now you can beat the odds and prosper in the process. bestselling author martin yate imparts exciting new strategies that speak directly to the reality of today's changing workplace, and he offers the blueprint you need to achieve and maintain career buoyancy in these turbulent business times.practical and clearly written, but as revolutionary as the times themselves, beat the odds is must reading for americans who wish to gain the upper hand and achieve the highest payoff possible in the work world of the '90s.","business and economics , general"
711,the chesapeake bay in maryland: an atlas of natural resources,alice jane lippson,"maps depict the distribution of wildlife, vegetation, and other natural resources and the physical properties of the bay","business and economics , general"
712,the profit zone: how strategic business design will lead you to tomorrow's profits,"adrian j. slywotzky, bob, andelman, david j. morrison","why do some companies create sustained, superior profits year after year? why are they always far ahead of competitors in discovering the ever-changing profit zones of their industry? why do others languish as their traditional way of doing business turns into a no-profit zone? the profit zone provides the answers. it is an original and practical explanation of how and why high profit happens, revealing the strategies of twelve of today's great success stories--a group of companies and executives that have created over $700 billion in market value for their shareholders. more importantly, it shows the lessons that can be learned from the business design of these companies--adaptations that enabled them to always be several steps ahead of competitors in meeting customer priorities. some examples:the profit lessons any product company can learn from jack welch's ""sell solution, not just the box"" business design at ge.how nicholas hayek's creation of low-end, profitable firewall brand--the swatch--protects the rich profitability of the high-end products at his companyhow roberto goizueta's decision that the consumer was not the only important customer created the basis for coke's triumph's over pepsi.why charles schwab's switchboard business design created a new way of doing business for millions of new customers in financial services.how managers of small and mid-size businesses such as madden communications and middle managers in large companies have used slywotzky and morrison's ideas to move their companies to the profit zone.","business and economics , strategic planning"
713,bogle on mutual funds: new perspectives for the intelligent investor,john c. bogle,"john c. bogle, founder of the vanguard group of  investment companies, has built a $100 billion  mutual fund company on principles of candor, fairness,  and low cost. the most outspoken critic of the  mutual fund industry, bogle speaks to the serious  mutual fund investor, both novice and seasoned, in  this straightforward assessment of an industry bogle  himself helped revolutionize. here he offers the  essential principles of canny mutual fund  investing, as well as caveats to protect the investor.  readers will learn how to: ask three critical  questions before investing. evaluate risk tolerance and  design a portfolio to meet current financial  objectives. develop a diversified portfolio of equity  funds, bonds, and money market funds that will  weather the market's short term variations. apply  bogle's eight model portfolios to achieve their own  financial goals. always find themselves in a winning  money market fund. protect themselves from  inflation use index funds to effectively balance  risk/return. anyone who is serious about mutual funds can  apply the dynamic investment principles of  bogle on mutual funds to establish a  winning, long-term investment portfolio.","business and economics , personal finance , investing"
714,michael jordan speaks: lessons from the world's greatest champion,janet lowe,"words and wisdom from chicago bulls #23: mega-superstar, ""his airness""he is the most successful player to ever wear a basketball uniform. on the court and off the court, michael has entertained the world as a pitchman, movie star, spokesperson, and an extraordinary athlete-although not the greatest baseball player. for the first time ever, bestselling author janet lowe has compiled a portrait from michael's own words. michael jordan speaks touches upon everything about the sport, his mega-superstar status, and his life, culled from articles, newscasts, and interviews.","business and economics , general"
715,the circle of innovation: you can't shrink your way to greatness,thomas j. peters,"tom peters--brilliant, original, and perhaps the most inspiring and listened-to business thinker of our time--has a lot on his mind these days. and he wants to share it in the circle of innovation. the world of business is in a permanent state of flux, he argues, a state of chaos in which constant innovation is the only survival strategy--for the individual and for the organization. and he presents here a lifesaving handbook--both provocative and practical--designed to turn any organization into a perpetual innovation machine.in 400 seminars in 47 states and 22 countries in the last five years, peters has reexamined, refined, and reinvented his views on innovation. now he brings those seminars--and his passion--to the reader in a landmark book. it is meant, he writes, to both ""terrify"" and ""enlighten."" these are ""times of matchless peril for those who fail to grasp the nettle...and times of matchless opportunity for those who do.""to keep us alert, limber, and ready for action, he provokes and cajoles in chapter after chapter. among his institutions and revelations:we are all michelangelos. he shows how to transform every ""jobholder"" into a full-fledged businessperson.all value comes from the professional services. how to convert sluggish staff units into vital centers of intellectual capital accumulation.the system is the solution. how to build great systems--which go far beyond nuts and bolts.create waves of lust. quality is not the automatic advantage it recently was. there is a pressing need to reverse the rising tide of product and service ""commoditization.""tommy hilfiger knows. in a crowded marketplace, branding is far more important than ever before.it's a woman's world. how to capitalize on the fact that women purchase/are purchasing agents for well over half of u.s. commercial and consumer goods.little things are the only things. as the blight of sameness encroaches on market after market, design is often the best tool in services or manufacturing for sustainable differentiation.we're here to live life out loud. why transformational leaders of the future must have laser-like focus, tell the truth, and live on the lunatic fringe.the hallmarks of tom peters legend are an insatiable curiosity, an agile intellect, a pragmatic perspective, and an uncanny ability to gauge the global zeitgeist. these qualities are all brought to bear as peters sets out to engage, enrage, and ultimately empower his readers, amid forces that are reshaping not only business but every aspect of human experience.","business and economics , development , business development"
716,managers as mentors,chip r. bell,"this latest edition of the classic managers as mentors is a rapid-fire read that guides leaders in helping associates grow in today’s tumultuous organizations. thoroughly revised throughout with twelve new chapters, this edition places increased emphasis on the mentor acting as a learning catalyst with the protégé rather than simply handing down knowledge.  as with previous editions, a fictional case study of a mentor-protégé relationship runs through the book. but now this is augmented with interviews with six top us ceos. new chapters cover topics such as the role of mentoring in spurring innovation and mentoring a diverse and dispersed workforce accustomed to interacting digitally. also new to this edition is the mentor’s toolkit, six resources to help in developing the mentor-protégé relationship. this hands-on guide teaches leaders to be the kind of confident coaches integral to learning organizations.","business and economics , leadership"
717,"financial accounting, tools for business decision making","paul d. kimmel, jerry j., weygandt, donald e. kieso","now in its third edition, financial accounting by kimmel, weygandt, and kieso has been tested and approved in the classroom. this best-selling text has helped students hit the road with a practical set of tools, and the confidence they need to use those tools effectively in making business decisions.financial accounting provides students with an understanding of those concepts that are fundamental to the use of accounting. starting with a ""macro"" view of accounting information, the authors present real financial statements and establish how a financial statement communicates the financing, investing, and operating activities of a business to users of accounting information. they motivate students by grounding the discussion in the real world, showing them the relevance of the topics covered to their future career.student workbook:  this valuable study guide, written to use side-by-side with the financial accounting textbook provides the guidance and assurance you need to exceeed in the course.  included a re study objectives, demonstration problems, true/false and multiple-choice questions, solutions, to exercises, chapter outlines, and blank working papers.","business and economics , accounting , financial"
718,the virtual corporation: structuring and revitalizing the corporation for the 21st century,"michael s. malone, william h. davidow",a fascinating examination of the new strategies used by the most advanced corporations that are propelling the current industrial revolution.,"business and economics , structural adjustment"
719,cigarettes: anatomy of an industry from seed to smoke (bazaar book),tara parker-pope,"cigarettes chronicles the controversies of a 350 billion dollar industry, telling the fast-paced business story of cigarettes—from seed to smoke—that surprises as it entertains. in a book publishers weekly calls “an absorbing and informative history of cigarettes,” parker-pope provides “up-to-date coverage of the recent tobacco industry litigation [that] is not only concise and accessible, but illuminating.” the author, who follows the tobacco industry for the wall street journal, offers a unique spin on a much-covered topic, examining the commercial aspect of an industry that became the biggest business success story of the twentieth century.","business and economics , industries , general"
720,thinking for a change: 11 ways highly successful people approach life and work,john c. maxwell,"at the heart of john c. maxwell's brilliant and inspiring book is a simple premise: to do well in life, we must first think well. but can we actually learn new mental habits? thinking for a change answers that with a resounding ""yes"" -- and shows how changing your thinking can indeed change your life. drawing on the words and deeds of many of the world's greatest leaders and using interactive quizzes, this empowering book helps you assess your thinking style, guides you to new ones, and step by step teaches you the secrets of: big-picture thinking -- seeing the world beyond your own needs and how that leads to great ideas. focused thinking -- removing mental clutter and distractions to realize your full potential. creative thinking -- stepping out of the ""box"" and making breakthroughs. shared thinking -- working with others to compound results. - reflective thinking -- looking at the past to gain a better understanding of the future ...and much more. here america's most trusted and admired motivational teacher examines the very foundation of success and self-transformation. illuminating and life-changing, thinking for a change is a unique primer not on what to think, but how to best use one of your most precious possessions: your mind.","business and economics , leadership"
721,the pathfinder: how to choose or change your career for a lifetime of satisfaction and success,nicholas lore,"do you jump out of bed every morning and rush to a job you love?  or is the work you once enjoyed now just a way to pay the bills? perhaps you're even doubting your career choice altogether. let the pathfinder guide you to a more engaging, fulfilling work life. based on breakthrough techniques developed by rockport institute, an innovative and award-winning career-counseling network that has changed the lives of over 10,000 people, the pathfinder offers invaluable advice and more than 100 self-tests and diagnostic tools that will help you choose an entirely new career -- or view a current job from a new, more positive perspective. you'll learn:  * how to design your new career direction step by step so that it fits your talents, personality, needs, goals, values, and is, at the same time, practical and attainable * how to deal successfully with the ""yeah but"" voices in your head that keep you going back to the same old ill-fitting job, day after day * how to land the perfect job in your new field, plus tips on writing a really exceptional résumé, personal marketing, and networking (even for those who hate to network)  whether you're a seasoned professional in search of a career change or a beginner just entering the working world, you want to make the right choices from the beginning. no matter where you are in your journey, if you want work to be more of a dance than a drag, the pathfinder will expertly coach you through the process of designing a career you will love.","business and economics , careers , general"
722,made in america: regaining the productive edge,"robert m. solow, michael l., dertouzos, richard k. lester","made in america identifies what is best and worth replicating in american industrial practice and sets out five national priorities for regaining the productive edge.what went wrong and how can america become second to none in industrial productivity? this long awaited study by a team of top notch mit scientists and economists - the mit commission on industrial productivity - takes a hard look at the recurring weaknesses of american industry that are threatening the country's standard of living and its position in the world economy. made in america identifies what is best and worth replicating in american industrial practice and sets out five national priorities for regaining the productive edge. unlike other studies that prescribe macroeconomic cures, made in america focuses on the reorganization and effective integration of human resources and new technologies within the firm as a principal driving force for long term growth in productivity. made in america examines the relationship between human resources and technological change in detail and singles out the most significant productivity weaknesses from the myriad causes that are typically cited. these include shortâ­time horizons and a preoccupation with the bottom line, outdated strategies that focus excessively on the domestic market, lack of cooperation within and among u.s. firms, neglect of human resources, technological failures in translating discoveries to products, and a mismatch between governmental actions and the needs of industry. looking ahead made in america asserts that industrial performance would improve substantially simply by building on what is best in u.s. industry. it describes representative systems of production that can serve as models of best industrial practice for niche producers, price competitive specialized producers, and flexible mass producers. among the goals singled out as national priorities are the creation of a new economic citizenship that involves wellâ­educated workers as active partners in the reproduction process, a new strategic focus on production, finding a better balance between cooperation and individualism, learning to live in an increasingly international economy, and making proper provision for the future both in terms of capital and human resources. the findings and goals of made in america are based on such measures of productivity performance as product quality, innovativeness, time to market, and service in eight manufacturing sectors - semiconductors, computers, and office equipment; automobiles; steel; consumer electronics, chemicals and pharmaceuticals; textiles; machine tools; and commercial aircraft. these measures revealed a large gap between the best and average u.s. practice.","business and economics , production and operations management"
723,"the new strategic selling: the unique sales system proven successful by the world's best companies, revised and updated for the 21st century","tad tuleja, stephen e. heiman, diane, sanchez, robert b. miller","the book that sparked a selling revolution in 1985 one book changed sales and marketing forever. rejecting manipulative tactics and emphasizing ""process,"" strategic selling presented the idea of selling as a joint venture and introduced the decade's most influential concept, win-win. the response to win-win was immediate. and it helped turn the small company that created strategic selling, miller heiman, into a global leader in sales development with the most prestigious client list and sought-after workshops in the industry. now strategic selling has been updated and revised for a new century of sales success. the new strategic selling this new edition of the business classic confronts the rapidly evolving world of business-to-business sales with new real-world examples, new strategies for confronting competition, and a special section featuring the most commonly asked questions from the miller heiman workshops. learn: * how to identify the four real decision makers in every corporate labyrinth * how to prevent sabotage by an internal deal-killer * how to make a senior executive eager to see you * how to avoid closing business that you'll later regret * how to manage a territory to provide steady, not ""boom and bust,"" revenue * how to avoid the single most common error when dealing with the competition.","business and economics , sales and selling , general"
724,"the mind of the market: compassionate apes, competitive humans, and other tales from evolutionary economics",michael shermer,"bestselling author michael shermer explains how evolution shaped the modern economy—and why people are so irrational about money how did we make the leap from ancient hunter-gatherers to modern consumers and traders? why do people get so emotional and irrational about bottom-line financial and business decisions? is the capitalist marketplace a sort of darwinian organism, evolved through natural selection as the fittest way to satisfy our needs? in this eye-opening exploration, author and psychologist michael shermer uncovers the evolutionary roots of our economic behavior. drawing on the new field of neuroeconomics, shermer investigates what brain scans reveal about bargaining, snap purchases, and establishing trust in business. he scrutinizes experiments in behavioral economics to understand why people hang on to losing stocks, why negotiations disintegrate into tit-for-tat disputes, and why money does not make us happy. he brings together astonishing findings from psychology, biology, and other sciences to describe how our tribal ancestry makes us suckers for brands, why researchers believe cooperation unleashes biochemicals similar to those released during sex, why free trade promises to build alliances between nations, and how even capuchin monkeys get indignant if they don’t get a fair reward for their work.","business and economics , economics , general"
725,101 great answers to the toughest interview questions,ronald w. fry,"for years, interviewees have relied on 101 great answers to the toughest interview questions. in fact, more than 500,000 people have used prior editions. the book begins with an overview of the interviewing process. then, questions are grouped by chapter to cover the full range of possible interview topics--everything from, ""why are you thinking of leaving your current job?"" to ""when can you start?"" this brand new edition is thoroughly updated to reflect the realities of today's job market.","business and economics , careers , general"
726,rain making,ford harding,"offers practical advice on marketing professional services, discusses strategies, cold calling, and direct mail, and includes information on creating promotional materials","business and economics , general"
727,the successful business plan: secrets & strategies (successful business plan secrets and strategies),"rhonda abrams, eugene kleiner",forbes calls the successful business plan one of the best books for small businesses. this new edition offers advice on developing business plans that will succeed in today's business climate. includes up-to-date information on what's being funded now.,"business and economics , development , business development"
728,"chuck carlson's 60-second investor: timely tips, tools, and tactics for the time-strapped investor",charles b. carlson,"one minute. that's all it takes to become a savvy individual investor and get on top of the best investment strategies, secrets of stock market movements, professional trading tactics, and sound, strategic financial planning. from the best-selling author of buying stocks without a broker comes this cure for investment information overload. in a unique quick-take format and in his famous crisp, no-nonsense style, chuck carlson breaks down the mysteries of wall street into digestible, but potent,bite-size chunks. learning the essentials of wealth-building has never been so quick and easy.","business and economics , personal finance , general"
729,are you communicating?,donald walton,"offers advice on listening, speaking, and writing effectively, and shows the impact of these skills on a variety of successful companies","business and economics , general"
730,winning the service game,"benjamin schneider, david earl bowen","tells how to focus on customer needs and expectations, offers advice on managing personal contact with customers, and shows how to create a service culture","business and economics , marketing , industrial"
731,the organization map,pam mcclellan,"offers advice on time management, storage solutions, meal planning, and work schedules, and explains how to reduce clutter and get family members to help with housework","business and economics , general"
732,wealthy and wise: secrets about money,"heidi l. steiger, neuberger berman","wealthy & wise provides rare insight into the techniques that wealthy people use to build and protect their wealth, so that they can enjoy life to its fullest. readers will learn how to address the real-life issues that money creates, such as raising children in an affluent household, finding fulfillment in work, and developing a long-term wealth management strategy. the book addresses both the practical and the emotional challenges of wealth, with tips on how to enjoy it too. from prenuptial agreements to family meetings to trusts and charitable foundations, wealthy & wise provides useful, comprehensive advice for anyone who has wealth, or aspires to wealth.neuberger berman (new york, ny) is a leading investment advisory company. for more than sixty years, it has provided clients with a broad range of investment products, services, and strategies, including asset management, wealth management, and trust services. heidi l. steiger is an executive vice president and head of the firm's private asset management business.","business and economics , personal finance , general"
733,crash profits: make money when stocks sink and soar!,martin d. weiss,"smart investing strategies from bestselling author and america's consumer advocate for financial safetyfilled with against-the-grain attitude and seasoned market wisdom, crash profits explains not only how to survive, but how to make money before, during, and after a crash. using real examples fresh from the financial pages, weiss delineates the full range of risks facing the average american. he shows readers how to see through the lies that wall street tells and how to find safer alternatives to stock investing, as well as what to sell, how to sell, and when to sell (and when not to sell). here's the unvarnished truth about investing today, coupled with the strategies every american can use to turn windfall profits while others are losing their shirts.martin d. weiss, phd (palm beach, fl), is chairman of weiss research in palm beach, florida. his previous book, the ultimate safe money guide (0-471-15202-1), was a wall street journal, businessweek, and new york times business bestseller","business and economics , investments and securities , general"
734,if time is money no wonder i'm not rich: busy investor's guide to successful money mgmt,mary l. sprouse,"a crashproof course in high-speed investing for those too busy making money to manage it explains how to simplify money-management chores with time-saving techniques for creating personal financial plans that work. 50,000 first printing. tour.","business and economics , general"
735,clicks and mortar: passion-driven growth in an internet-driven world,"david s. pottruck, terry, pearce, lew platt","in a world where companies are rushing to add an ""e-"" to everything they do--e-commerce, e-tailing--the real key to success still lies off-line. in this fascinating, behind-the-scenes look at the electronic revolution, an inspirational leader and operator and a talented and thoughtful coach and consultant, both engaged in the meteoric rise of the charles schwab corporation, articulate and demonstrate the elements of long-range success. their take on culture, personal leadership and the transformation of business practices will help leaders, employees, investors, and customers all come out on top in this high-stakes, opportunity rich economy.for excerpts, andorsements, detailed author biographies, and more, visit the special clicks and mortar website.","business and economics , e-commerce , general"
736,the female advantage: women's ways of leadership,sally helgesen,"now in currency paperback -- sally helgesen's  classic study of female leaders and how their  strategies represent a highly successful revision of male  leadership styles. sixty thousand copies in print!  in her bestselling 1990 book, sally helgesen  discovered that men and women approach work in  fundamentally different ways. many of these differences  hold distinct advantages for women, who excel at  running organizations that foster creativity,  cooperation, and intuitive decision-making power,  necessities for companies of the twenty-first century.  helgesen's findings reveal that organizations run by  women do not take the form of the traditional  hierarchical pyranaid, but more closely resemble a  web, where leaders reach out, not down, to form an  interrelating matrix built around a central purpose.  the strategy of the web concentrates power at the  center by drawing others closer and by creating  communities where information sharing is essential.  she presents her findings through unique, closely  detailed accounts of four successful women  business leaders -- frances hesselbein of girl scouts  usa, barbara grogan of western industrial  contractors, nancy badore of ford motor company's executive  development center, and dorothy brunson of brunson  communications. helgesen observes their meetings,  listens to their phone calls and conferences, and  reads their correspondence. her ""diary  studies"" document how women leaders make decisions,  schedule their days, gather and disperse  information, motivate others, delegate tasks, structure  their companies, hire, and fire. she chronicles how  their experiences as women -- wives, mothers,  friends, sisters, daughters -- contribute to their  leadership style.","business and economics , leadership"
737,the big fix: how the pharmaceutical industry rips off american consumers (publicaffairs reports),katharine greider,"as the pharmaceutical industry invests more and more in the development of new drugs, true breakthroughs are few and far between. into the breach comes a panoply of product-line extensions and me-too drugs aimed at grabbing market share. the industry plows its high profits back into research, but invests an equal or greater sum in flogging its products in every imaginable venue. research studies are designed to support marketing claims. many doctors all over the country get their first information about new drugs from a salesperson. and, increasingly, prescription drugs are pitched to consumers on tv and the internet with images of hope, terror, or chic. evidence-based practice guidelines, which endeavor to get the right medicines to those who will benefit most, can't be heard over the din.  having created an unprecedented number of ""megabrands""—blockbuster drugs with huge sales—and undergone an extraordinary wave of consolidation, some drug companies now find themselves in a precarious position. patents are expiring on flagship products. in order to sustain the growth wall street has come to expect, these companies must produce billions of dollars worth of new revenue—fast. but can americans continue to bankroll operation grow big pharma? must we swallow the bad with the good?","business and economics , industries , general"
738,six sigma for dummies,"bruce williams, neil, decarlo, craig gygi","the world’s largest and most profitable companies – including the likes of ge, bank of america, honeywell, dupont, samsung, starwood hotels, bechtel, and motorola – have used six sigma to achieve breathtaking improvements in business performance, in everything from products to processes to complex systems and even in work environments. over the past decade, over $100 billion in bottom-line performance has been achieved through corporate six sigma programs.  yet, despite its astounding effectiveness, few outside of the community of six sigma practitioners know what six sigma is all about.with this book, six sigma is revealed to everyone.  you might be in a company that’s already implemented six sigma, or your organization may be considering it.  you may be a student who wants to learn how it works, or you might be a seasoned business professional who needs to get up to speed. in any case, six sigma for dummies is the most straightforward, non-intimidating guide on the market. this simple, friendly book makes six sigma make sense.with a compelling foreword by dr. stephen r. covey, the internationally recognized leadership authority and bestselling author of the seven habits of highly effective people and the 8th habit, and an afterword by roxanne o’brasky, president of the international society of six sigma, six sigma for dummies is the most complete and objective book in the market today.unlike most other works that are either graduate-level statistics treatises or thinly-veiled autobiographical success stories, six sigma for dummies teaches the reader all the foundation principles, methods, and tools of this magnificent problem-solving system. intended to help readers understand six sigma and how they can use it to improve their performance, this no-nonsense guide explains:what six sigma is all about and how it worksthe benefits of six sigma in organizations and businessesthe powerful “dmaic” problem-solving roadmapyellow, green and black -- how the six sigma ""belt"" system workshow to select and utilize the right tools and technologiesspeaking the language of six sigmaknowing the roles and responsibilitiesmastering the statistics skills and analytical methodssix sigma for dummies will become everyone’s no. 1 resource for discovering and mastering the world’s most famous and powerful improvement tool.  stephen covey is spot-on when he says, “six sigma for dummies is a book to be read by everyone”.","business and economics , total quality management"
739,"the complete guide to second homes for vacation, retirement, and investment",gary w. eldred,"the complete guide to second homes for vacations, retirement, and investmentchoosing the perfect locationfinding the right homeforecasting investment potentialhow to save thousands on financinghere's the knowledge you need to find, buy, and get the most fun and profit from your second homeif you've been thinking about buying a second home for getaways, vacations, investment, or retirement, now is the time to do it. you'll gain from low interest rates, easier financing, large tax savings, and strong potential for appreciation. smart buyers are getting into the market now, before aging boomers push prices even higher.but what's the best way to afford a second home? how much should you pay? what are the tax benefits? how can you be sure you're getting good value for your money? what kinds of financing are possible? how can you negotiate the best deals and bargain prices? nationally renowned real estate expert dr. gary eldred provides complete answers to these and all your other questions concerning the purchase of a second home. in a simple and clear style, he fills you in on everything you need to know to:* develop a strategy to increase affordability * research the market to find your best location * choose a home that will quickly appreciate * make the most of current tax-saving techniques* select the right homeowner's insurance* rent to minimize risk and maximize profit* create value through home improvements* vacation free worldwide through home exchanges","business and economics , investments and securities , general"
740,making change: a woman's guide to designing her financial future,"neale s. godfrey, tad richards","""this book is about you and your money....""  the author of the bestselling money doesn't grow on trees extends her proven financial guidance to the millions of women who want to take control of their financial lives. in making change, neale s. godfrey -- single mother, successful author, and financial guru -- shows you exactly how to make your finances, your future, and your life work for you. giving expert advice with a down-to-earth approach, godfrey guides you toward financial security with her ""design it...do it"" motto, whether you're starting out or just determined to gain the financial confidence and competence you've always wanted.  full of quizzes, planning tools, and inspiring anecdotes, making change shows you how to discover your financial personality and teaches you the life skills you will need to ""make change"" in the ways that count most:  * learn how to manage personal banking and budgeting effectively * find essential information on saving and investing wisely * discover the secrets to creating, maintaining, and repairing credit * visualize the steps you need to take for making important financial decisions * evaluate your financial options for the future  you'll have everything you need to design and create the financially secure life you want -- and deserve.","business and economics , bookkeeping"
741,a term at the fed: an insider's view,laurence h. meyer,"as a governor of the federal reserve board from 1996 to 2002, laurence h. meyer helped make the economic policies that steered the united states through some of the wildest and most tumultuous times in its recent history. now, in a term at the fed, governor meyer provides an insider's view of the fed, the decisions that affected both the u.s. and world economies, and the challenges inherent in using monetary policy to guide the economy.when governor meyer was appointed by president clinton to serve on the federal reserve board of governors in 1996, the united states was entering one of the most prosperous periods in its history. it was the time of ""irrational exuberance"" and the fabled new economy. soon, however, the economy was tested by the asian financial crisis, the russian default and devaluation, the collapse of long-term capital management, the bursting of america's stock bubble, and the terrorist attacks of 9/11.in what amounts to a definitive playbook of monetary policy, meyer now relives the fed's closed-door debates -- debates that questioned how monetary policy should adapt to the possibility of a new economy, how the fed should respond to soaring equity prices, and whether the fed should broker the controversial private sector bailout of ltcm, among other issues. meyer deftly weaves these issues with firsthand stories about the personalities involved, from fed chairman alan greenspan to the various staffers, governors, politicians, and reporters that populate the world of the fed.since the end of his term, meyer has continued to watch the fed and the world economy. he believes that we are witnessing a repetition of some of the events of the remarkable 1990s -- including a further acceleration in productivity and perhaps another bull market. history does not repeat itself, yet meyer shows us how the lessons learned yesterday may help the fed shape policy today.","business and economics , banks and banking"
742,rays of hope: the transition to a post-petroleum world (norton worldwatch books),denis hayes,"major energy transitions always bring profound social change. the substitutions of coal for wood and wind helped usher in the industrial era. petroleum, in turn, revolutionized our whole approach to travel, restructuring cities and shrinking the planet. now, at the twilight of the oil age, we face another energy transition in the certain knowledge that it will reshape tomorrow’s world.","business and economics , general"
743,a passion for excellence: the leadership difference,"thomas j. peters, nancy austin","demonstrates through numerous practical examples how superior customer service, innovation, and the competence of all members of the organization lead to distinctive achievement","business and economics , general"
